P/bar,T/K,D/m2s-1,errD,Visc/Pas,errVisc
100,303,14.23e-09,0.20e-9,6.89e-5,0.16e-5
100,313,18.51e-09,0.24e-9,5.92e-5,0.12e-5
100,322,24.48e-09,0.40e-9,4.49e-5,0.09e-5
100,332,33.75e-09,0.52e-9,3.10e-5,0.05e-5
100,342,47.29e-09,0.63e-9,2.56e-5,0.06e-5
100,353,60.28e-09,0.67e-9,2.38e-5,0.05e-5
100,363,67.16e-09,0.70e-9,2.28e-5,0.05e-5
100,373,71.85e-09,0.80e-9,2.24e-5,0.05e-5
110,303,13.98e-09,0.16e-9,7.46e-5,0.15e-5
110,313,16.73e-09,0.18e-9,6.20e-5,0.16e-5
110,322,21.63e-09,0.18e-9,5.33e-5,0.12e-5
110,332,29.37e-09,0.18e-9,3.88e-5,0.08e-5
110,342,38.91e-09,0.28e-9,2.84e-5,0.07e-5
110,353,49.76e-09,0.32e-9,2.48e-5,0.06e-5
110,363,57.91e-09,0.37e-9,2.46e-5,0.05e-5
110,373,62.18e-09,0.37e-9,2.31e-5,0.05e-5
130,303,13.46e-09,0.15e-9,7.71e-5,0.17e-5
130,313,15.44e-09,0.17e-9,6.74e-5,0.14e-5
130,322,17.96e-09,0.16e-9,5.98e-5,0.11e-5
130,332,23.82e-09,0.18e-9,5.02e-5,0.11e-5
130,342,29.21e-09,0.20e-9,4.21e-5,0.11e-5
130,353,36.19e-09,0.26e-9,3.42e-5,0.07e-5
130,363,43.21e-09,0.29e-9,2.94e-5,0.06e-5
130,373,49.57e-09,0.32e-9,2.73e-5,0.04e-5
150,303,12.50e-9,0.15e-9,8.20e-5,0.18e-5
150,313,14.58e-9,0.16e-9,7.43e-5,0.18e-5
150,322,16.57e-9,0.17e-9,6.54e-5,0.14e-5
150,332,19.42e-9,0.20e-9,5.56e-5,0.13e-5
150,342,23.35e-9,0.20e-9,4.73e-5,0.08e-5
150,353,29.39e-9,0.19e-9,3.84e-5,0.07e-5
150,363,34.68e-9,0.12e-9,3.47e-5,0.09e-5
150,373,41.36e-9,0.17e-9,3.15e-5,0.07e-5
200,303,11.68e-09,0.04e-9,8.83e-5,0.20e-5
200,313,13.14e-09,0.05e-9,8.02e-5,0.17e-5
200,322,14.59e-09,0.06e-9,7.41e-5,0.11e-5
200,332,16.75e-09,0.05e-9,6.61e-5,0.14e-5
200,342,18.93e-09,0.07e-9,5.90e-5,0.12e-5
200,353,21.73e-09,0.08e-9,5.42e-5,0.10e-5
200,363,24.88e-09,0.07e-9,4.90e-5,0.09e-5
200,373,28.70e-09,0.11e-9,4.33e-5,0.08e-5
300,303,10.38e-09,0.03e-9,10.35e-5,0.24e-5
300,313,11.49e-09,0.04e-9,9.50e-5,0.21e-5
300,322,12.61e-09,0.05e-9,8.69e-5,0.16e-5
300,332,13.98e-09,0.05e-9,8.08e-5,0.16e-5
300,342,15.42e-09,0.06e-9,7.38e-5,0.14e-5
300,353,17.06e-09,0.05e-9,7.18e-5,0.13e-5
300,363,18.84e-09,0.06e-9,6.54e-5,0.12e-5
300,373,20.54e-09,0.07e-9,6.17e-5,0.10e-5
